"Nome ",ID,Группа,Дата Последней Котировки,Дата стоимости,Ед. Измерения,Категория,"Название RU ",Название RU [AI],Последний Поставщик,Последняя Котировка,Поставщик / Подрядчик,Поставщики,Создано,Стоимость,💯 Котировки поставщиков
"Вікона розміром 1,6х2м",MAT-62,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€600.00,
"Вікона розміром 1,6х1,5м",MAT-63,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€450.00,
"Вікона розміром 0,8х2м",MAT-64,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€350.00,
"Дверний блок розміром 0,9х2м",MAT-65,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€500.00,
"Ворота розсувні розміром 4,7х1,5м",MAT-66,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€2,200.00",
"Ворота розсувні розміром 3,2х1,5м",MAT-67,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,600.00",
"Ворота розпашні розміром 2,8х1,5м",MAT-68,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,400.00",
Дюбель з шурупом розміром 6х80мм,MAT-69,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.40,
Піна монтажна 750мл,MAT-70,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€14.00,
Силікон білий 310мл,MAT-71,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€7.00,
Суміш для штукатурки 25кг REDUR,MAT-74,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€3.20,
Кутники штукатурні,MAT-75,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.50,
Грунтовка для фарби NEUCE,MAT-76,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Фарба водоемульсійна для внутрішніх робіт NEUCE,MAT-77,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Плитка керамічна розміром 45х45см,MAT-78,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€20.00,
Природній камінь розміром 60х60см,MAT-79,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€50.00,
Плитка керамічна для плінтуса висотою 10см,MAT-80,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€20.00,
"Мармур білий для підвіконників шириною 20см (5,9м2)",MAT-81,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€40.00,
Клей для плитки Weber 25кг,MAT-82,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€27.00,
Фуга для плитки Weber Premium 5кг,MAT-84,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Система вимірювання плитки СВП (300шт),MAT-85,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€20.00,
"Лист гіпсокартонний вологостійкий розміром 2500х1200х12,5 мм",MAT-86,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Кутник направляючий розміром 30х30 мм,MAT-87,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.50,
Профіль стельовий,MAT-88,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.50,
Різьба М6 довжиною 1м,MAT-89,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€5.00,
Латунна втулка,MAT-90,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.20,
"Кріплення типу ""метелик""",MAT-91,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.30,
Цвяхи Hilti для кріплення кутника направляючого 1000шт,MAT-92,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€250.00,
"Саморіз для гіпсокартону розміром 3,5х25мм 1000шт",MAT-93,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€130.00,
"Саморіз для гіпсокартону розміром 3,5х9,5мм 1000шт",MAT-94,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€130.00,
Свердла до бетону діаметром 6мм,MAT-95,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€8.00,
Лента паперова для швів гіпсокартону,MAT-96,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.20,
Шпаклівка для швів гіпсокартону Semin CE-78 25кг,MAT-97,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€20.00,
Суміш для штукатурки 25кг REDUR,MAT-100,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€3.20,
Кутники штукатурні,MAT-101,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.50,
Грунтовка для фарби NEUCE,MAT-102,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Фарба фасадна NEUCE,MAT-103,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Умивальник з тумбочкою,MAT-106,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€350.00,
Змішувач для умивальника,MAT-107,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€120.00,
Сифон для умивальника,MAT-108,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€30.00,
"Вентиль запірний 1/2""",MAT-109,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Шланг гнучкий довжиною 50см,MAT-110,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€13.00,
Мийка кухонна,MAT-111,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€120.00,
Змішувач для мийки,MAT-112,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€75.00,
Сифон для мийки,MAT-113,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€30.00,
Бетон С8/10,MAT-2,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€145.00,
Бетон С30/37 ХС3,MAT-3,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€170.00,
Щити опалубки для фундаментної плити,MAT-4,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€30.00,
Мастило для опалубки,MAT-5,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€4.50,
Арматура діаметром 16мм,MAT-6,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,700.00",
Арматура діаметром 12мм,MAT-7,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,600.00",
Арматура діаметром 10мм,MAT-8,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,500.00",
Дрiт в'язальний,MAT-9,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€3.00,
Електроди,MAT-10,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€6.00,
Круги відрізні по металу діаметром 230мм,MAT-11,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€25.00,
Руберойд,MAT-14,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€7.00,
Газ пропан-бутан в балонах 40л,MAT-15,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€95.00,
Дерев'яні щити для перекриття,MAT-19,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€30.00,
Цвяхи,MAT-20,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€4.50,
Арматура діаметром 14мм,MAT-22,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,700.00",
Арматура діаметром 8мм,MAT-24,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,400.00",
Круги відрізні по дереву діаметром 180мм,MAT-28,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€85.00,
Цегла розміром 30х20х22см,MAT-31,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.80,
Цегла розміром 30х20х15см,MAT-32,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.20,
Цегла розміром 30х20х11см,MAT-33,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.10,
Цемент,MAT-34,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€305.00,
Пісок для розчину для кладки,MAT-35,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€58.00,
Огорожа сходів із загартованого скла висотою 1м,MAT-39,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€220.00,
Профіль для кріплення скла,MAT-40,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€23.00,
Шурупи для кріплення профіля,MAT-41,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.30,
Силікон білий 310мл,MAT-42,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€12.00,
Екструдований пінополістирол товщиною 40 мм,MAT-45,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€420.00,
Розчин для чорнової стяжки,MAT-46,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€105.00,
Пісок для чистової стяжки,MAT-48,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€52.00,
Гідроізоляція Weber.tec 824 20кг,MAT-49,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€85.00,
Сітка штукатурна,MAT-50,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€2.00,
"Вікона розміром 2,4х2м",MAT-60,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€900.00,
"Вікона розміром 2х1,5м",MAT-61,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€600.00,
"Вікона розміром 1,6х2м",MAT-62,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€600.00,
"Вікона розміром 1,6х1,5м",MAT-63,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€450.00,
"Вікона розміром 0,8х2м",MAT-64,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€350.00,
"Дверний блок розміром 0,9х2м",MAT-65,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€500.00,
"Ворота розсувні розміром 4,7х1,5м",MAT-66,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€2,200.00",
"Ворота розсувні розміром 3,2х1,5м",MAT-67,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,600.00",
"Ворота розпашні розміром 2,8х1,5м",MAT-68,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM","€1,400.00",
Дюбель з шурупом розміром 6х80мм,MAT-69,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.40,
Піна монтажна 750мл,MAT-70,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€14.00,
Силікон білий 310мл,MAT-71,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€7.00,
Суміш для штукатурки 25кг REDUR,MAT-74,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€3.20,
Кутники штукатурні,MAT-75,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.50,
Грунтовка для фарби NEUCE,MAT-76,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Фарба водоемульсійна для внутрішніх робіт NEUCE,MAT-77,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Плитка керамічна розміром 45х45см,MAT-78,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€20.00,
Природній камінь розміром 60х60см,MAT-79,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€50.00,
Плитка керамічна для плінтуса висотою 10см,MAT-80,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€20.00,
"Мармур білий для підвіконників шириною 20см (5,9м2)",MAT-81,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€40.00,
Клей для плитки Weber 25кг,MAT-82,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€27.00,
Клей для природного каменю Kerakoll H40 20кг,MAT-83,"Клей для камня, кг (https://www.notion.so/84f31e7fb9214b16b1aefbc599cfdbd9?pvs=21)",,"October 9, 2025 5:04 PM",,Клеи и герметики,,Клей для природного камня (Kerakoll H40) 20кг,,,,,"September 24, 2025 5:55 PM",€25.00,
Фуга для плитки Weber Premium 5кг,MAT-84,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Система вимірювання плитки СВП (300шт),MAT-85,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€20.00,
"Лист гіпсокартонний вологостійкий розміром 2500х1200х12,5 мм",MAT-86,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Кутник направляючий розміром 30х30 мм,MAT-87,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.50,
Профіль стельовий,MAT-88,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€1.50,
Різьба М6 довжиною 1м,MAT-89,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€5.00,
Латунна втулка,MAT-90,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.20,
"Кріплення типу ""метелик""",MAT-91,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.30,
Цвяхи Hilti для кріплення кутника направляючого 1000шт,MAT-92,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€250.00,
"Саморіз для гіпсокартону розміром 3,5х25мм 1000шт",MAT-93,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€130.00,
"Саморіз для гіпсокартону розміром 3,5х9,5мм 1000шт",MAT-94,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€130.00,
Свердла до бетону діаметром 6мм,MAT-95,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€8.00,
Лента паперова для швів гіпсокартону,MAT-96,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€0.20,
Шпаклівка для швів гіпсокартону Semin CE-78 25кг,MAT-97,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€20.00,
Фарба фасадна NEUCE,MAT-103,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Умивальник з тумбочкою,MAT-106,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€350.00,
Змішувач для умивальника,MAT-107,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€120.00,
Сифон для умивальника,MAT-108,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€30.00,
"Вентиль запірний 1/2""",MAT-109,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€15.00,
Шланг гнучкий довжиною 50см,MAT-110,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€13.00,
Мийка кухонна,MAT-111,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€120.00,
Змішувач для мийки,MAT-112,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€75.00,
Сифон для мийки,MAT-113,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€30.00,
Унітаз підвісний,MAT-116,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€450.00,
Інсталяція для унітазу,MAT-117,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€350.00,
Душовий піддон розміром 150х100см,MAT-118,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€700.00,
Змішувач для душової кабіни,MAT-119,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€120.00,
Душової лійка для душової кабіни,MAT-120,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€80.00,
"Скляна перегородка для душової кабіни розміром 1,2х2,4м",MAT-121,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€500.00,
Пральна машина,MAT-122,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€700.00,
Бойлер на 200л,MAT-123,,,"September 24, 2025 5:55 PM",,,,,,,,,"September 24, 2025 5:55 PM",€950.00,
